,aqi,pm2_5,pm10,temp,humidity,wind_speed,wind_direction
2025-04-13 14Hrs,93.0,32.0,82.0,35.0,30.0,9.0,139° SE
2025-04-13 15Hrs,93.0,32.0,78.0,35.0,27.0,20.0,9° N
2025-04-13 16Hrs,93.0,32.0,78.0,35.0,27.0,20.0,9° N
2025-04-13 18Hrs,88.0,29.0,74.0,36.0,18.0,17.0,72° ENE
2025-04-13 19Hrs,88.0,29.0,74.0,36.0,18.0,17.0,72° ENE
2025-04-13 20Hrs,90.0,30.0,79.0,29.0,37.0,18.0,127° SE
2025-04-13 21Hrs,90.0,30.0,79.0,29.0,37.0,18.0,127° SE
2025-04-13 22Hrs,90.0,30.0,79.0,29.0,37.0,18.0,127° SE
2025-04-13 23Hrs,99.0,35.0,90.0,28.0,45.0,18.0,127° SE
2025-04-14 00Hrs,99.0,35.0,90.0,28.0,45.0,18.0,127° SE
2025-04-14 01Hrs,99.0,35.0,90.0,28.0,45.0,18.0,127° SE
2025-04-14 02Hrs,93.0,32.0,82.0,26.0,39.0,9.0,127° SE
2025-04-14 03Hrs,93.0,32.0,82.0,26.0,39.0,9.0,127° SE
2025-04-14 04Hrs,93.0,32.0,82.0,26.0,39.0,9.0,127° SE
2025-04-14 07Hrs,77.0,23.0,65.0,28.0,37.0,8.0,261° W
2025-04-14 08Hrs,77.0,23.0,65.0,28.0,37.0,8.0,261° W
2025-04-14 09Hrs,77.0,23.0,65.0,28.0,37.0,8.0,261° W
2025-04-14 10Hrs,77.0,23.0,65.0,28.0,37.0,8.0,261° W
2025-04-14 12Hrs,87.0,28.0,78.0,32.0,41.0,8.0,177° S
2025-04-14 13Hrs,87.0,28.0,78.0,32.0,41.0,8.0,177° S
2025-04-14 14Hrs,87.0,28.0,78.0,32.0,41.0,8.0,177° S
2025-04-14 15Hrs,85.0,28.0,75.0,35.0,25.0,10.0,85° E
2025-04-14 16Hrs,85,28,75,35,25,10,85° E
